type_projet,surface_m2,budget,localisation,categorie_produit,type_produit,marque,prix_unitaire,qualite,popularite,quantite,prix_total,score_global
immeuble,241,235312,Tataouine,etancheite,silicone,Bostik,5.75,3,54,5,28.75,75.62
renovation,360,266658,Gafsa,revetement,gres,SOTEMAIL,75.71,4,54,402,30435.42,88.63
maison,429,219055,Siliana,etancheite,membrane_etanche,LocalMemb,38.57,5,75,282,10876.74,100.0
maison,321,278805,Medenine,revetement,joint,LocalJoint,14.51,3,46,29,420.79,72.35
renovation,69,42458,Medenine,peinture,vernis,Ripolin,21.96,3,64,6,131.76,77.0
immeuble,354,300000,Siliana,menuiserie,bois,MenuiserieTunis,85.41,4,77,28,2391.48,94.56
renovation,482,231931,Kebili,plomberie,robinet,Grohe,126.81,4,76,3,380.43,90.12
maison,346,139794,Kebili,electricite,tableau_electrique,Schneider,119.76,4,74,1,119.76,90.22
immeuble,308,213382,Ben Arous,maconnerie,parpaing,LocalBlock,2.82,5,76,899,2535.18,100.0
renovation,254,200445,Beja,isolation,laine_roche,Rockwool,27.77,5,70,205,5692.85,100.0
renovation,238,66899,Kairouan,maconnerie,sable,Sibline,50.58,4,49,26,1315.08,89.64
immeuble,84,81032,Gafsa,quincaillerie,cheville,LocalChev,0.45,2,42,158,71.1,52.56
renovation,227,74454,Sousse,maconnerie,parpaing,Sibline,2.45,3,56,672,1646.4,76.55
renovation,291,174062,Siliana,isolation,laine_roche,LocalIso,15.28,3,72,207,3162.96,80.07
immeuble,202,213762,Kairouan,isolation,laine_verre,Isover,18.06,4,68,178,3214.68,98.59
renovation,460,268673,Manouba,electricite,disjoncteur,Schneider,80.31,5,67,3,240.93,100.0
renovation,184,66867,Sousse,peinture,peinture_murale,Jotun,101.58,4,56,26,2641.08,86.64
immeuble,63,62869,Manouba,plomberie,robinet,IdealStandard,75.16,4,68,5,375.8,92.88
renovation,235,95933,Kasserine,etancheite,silicone,Sika,14.41,4,69,5,72.05,99.26
maison,451,300000,Tunis,peinture,vernis,LocalVernis,34.6,5,75,52,1799.2,100.0
immeuble,451,300000,Ariana,revetement,joint,Sika,8.97,5,85,52,466.44,100.0
immeuble,109,144024,Bizerte,plomberie,tuyau,GF,7.76,3,59,34,263.84,76.92
maison,166,68711,Ariana,maconnerie,brique,BriqueLocal,0.79,2,44,2362,1865.98,53.12
maison,81,36040,Sidi Bouzid,quincaillerie,clou,Fischer,0.52,3,61,135,70.2,78.25
maison,427,300000,Sousse,plomberie,siphon,LocalPlomb,7.33,4,79,3,21.99,100.0
renovation,301,97562,Beja,maconnerie,ciment,Sibline,23.06,3,49,156,3597.36,72.39
renovation,451,121343,Gabes,etancheite,bitume,LocalBitume,42.49,3,46,5,212.45,69.55
immeuble,350,300000,Mahdia,isolation,laine_verre,LocalIso,11.86,3,61,221,2621.06,77.11
renovation,197,76388,Medenine,etancheite,hydrofuge,Sika,46.83,4,61,2,93.66,93.62
renovation,443,249104,Jendouba,quincaillerie,clou,LocalClou,0.3,5,70,293,87.9,100.0
maison,88,37709,Monastir,peinture,rouleau,LocalTool,14.05,2,38,4,56.2,50.0
immeuble,344,300000,Mahdia,menuiserie,bois,LocalWood,147.72,4,54,48,7090.56,81.43
maison,489,300000,Gafsa,quincaillerie,boulon,Rawlplug,3.84,4,62,259,994.56,98.22
immeuble,313,300000,Gafsa,plomberie,tuyau,GF,8.16,4,58,156,1272.96,96.58
maison,237,140692,Siliana,quincaillerie,boulon,Rawlplug,3.49,4,67,139,485.11,99.75
maison,131,69591,Kairouan,quincaillerie,clou,Rawlplug,0.41,4,56,72,29.52,96.76
immeuble,76,86138,Nabeul,quincaillerie,cheville,Fischer,0.6,5,75,105,63.0,100.0
maison,114,54232,Manouba,quincaillerie,vis,LocalVis,0.9,3,45,70,63.0,73.41
immeuble,212,159130,Tunis,isolation,laine_roche,Rockwool,34.77,4,44,232,8066.64,89.72
immeuble,267,300000,Monastir,quincaillerie,clou,Fischer,0.07,4,68,143,10.01,100.0
renovation,456,164066,Tunis,menuiserie,bois,MenuiserieTunis,122.69,5,73,44,5398.36,100.0
maison,236,207437,Kef,isolation,mousse_isolante,LocalMousse,38.96,4,55,59,2298.64,92.6
renovation,218,78639,Ben Arous,plomberie,robinet,Grohe,95.08,4,77,3,285.24,93.59
renovation,278,64174,Tozeur,quincaillerie,cheville,Fischer,1.08,4,65,157,169.56,99.39
maison,253,142994,Kairouan,etancheite,hydrofuge,Sika,18.43,4,74,5,92.15,100.0
renovation,361,144453,Jendouba,plomberie,raccord,GF,25.3,3,47,8,202.4,71.57
maison,60,53656,Kairouan,plomberie,robinet,IdealStandard,112.25,3,40,2,224.5,60.78
renovation,143,55184,Siliana,peinture,pinceau,PaintPro,18.84,3,55,6,113.04,74.62
maison,151,90549,Gabes,plomberie,chauffe_eau,Atlantic,1026.44,4,45,2,2052.88,0.0
immeuble,76,74387,Ben Arous,etancheite,membrane_etanche,Bostik,37.03,4,50,60,2221.8,91.3
renovation,478,300000,Nabeul,maconnerie,brique,BriqueLocal,0.73,4,64,4364,3185.72,99.13
maison,151,65621,Siliana,plomberie,robinet,LocalRobi,108.23,3,55,4,432.92,65.68
maison,270,125979,Sfax,etancheite,membrane_etanche,Sika,42.41,4,55,284,12044.44,92.26
renovation,313,160037,Ben Arous,maconnerie,brique,SOTEMAIL,1.06,4,54,3107,3293.42,96.09
immeuble,310,300000,Gabes,isolation,polystyrene,Styrodur,30.88,4,48,216,6670.08,91.31
immeuble,246,286647,Sousse,quincaillerie,boulon,LocalBoul,1.16,4,63,108,125.28,98.78
renovation,439,157411,Kasserine,plomberie,tuyau,Pipelife,12.28,5,75,350,4298.0,100.0
renovation,109,51732,Nabeul,etancheite,membrane_etanche,LocalMemb,20.48,3,59,102,2088.96,75.65
renovation,190,69566,Mahdia,quincaillerie,cheville,Fischer,0.75,5,75,370,277.5,100.0
immeuble,485,300000,Tozeur,revetement,gres,GresPro,37.42,4,68,341,12760.22,96.66
immeuble,403,300000,Beja,isolation,polystyrene,LocalPoly,12.83,5,82,423,5427.09,100.0
immeuble,192,293510,Jendouba,isolation,polystyrene,Isover,28.29,4,55,147,4158.63,93.67
renovation,280,84492,Ben Arous,plomberie,siphon,LocalPlomb,20.75,2,41,9,186.75,50.22
immeuble,437,300000,Mahdia,etancheite,bitume,LocalBitume,43.61,4,50,7,305.27,90.64
renovation,355,178657,Sfax,quincaillerie,cheville,LocalChev,0.84,5,74,391,328.44,100.0
maison,213,178843,Kebili,menuiserie,fenetre,FenetrePro,405.69,5,79,8,3245.52,83.13
immeuble,474,300000,Medenine,maconnerie,gravier,GraviereTunis,31.14,3,50,91,2833.74,71.89
maison,237,102280,Gafsa,electricite,cable,Nexans,7.32,3,41,412,3015.84,71.57
immeuble,342,300000,Tozeur,electricite,interrupteur,Legrand,21.43,5,76,51,1092.93,100.0
maison,238,121336,Nabeul,plomberie,raccord,GF,34.06,3,48,3,102.18,70.99
maison,154,115928,Manouba,peinture,pinceau,PaintPro,6.9,3,66,6,41.4,79.11
immeuble,154,88880,Kebili,maconnerie,gravier,CarriereNabeul,51.19,4,65,42,2149.98,94.38
immeuble,54,66833,Ben Arous,electricite,disjoncteur,Siemens,72.32,4,45,3,216.96,86.27
maison,291,241349,Siliana,plomberie,chauffe_eau,Atlantic,587.31,4,55,1,587.31,37.77
renovation,243,64049,Gafsa,plomberie,raccord,GF,20.41,4,57,3,61.23,95.06
maison,191,140768,Siliana,etancheite,hydrofuge,Weber,37.78,3,38,6,226.68,67.62
maison,295,129483,Gabes,maconnerie,brique,BriqueTunis,1.1,3,48,3416,3757.6,74.29
immeuble,276,207055,Monastir,peinture,rouleau,LocalTool,22.67,4,48,6,136.02,92.13
immeuble,345,300000,Siliana,peinture,vernis,Jotun,71.72,5,87,26,1864.72,100.0
maison,434,198733,Sfax,electricite,disjoncteur,Schneider,59.94,5,80,2,119.88,100.0
maison,463,300000,Sidi Bouzid,isolation,laine_verre,Isover,23.15,5,68,437,10116.55,100.0
maison,242,213896,Siliana,plomberie,raccord,Pipelife,25.09,4,56,6,150.54,94.29
immeuble,448,300000,Gafsa,maconnerie,brique,SOTEMAIL,0.92,4,59,4233,3894.36,97.61
maison,432,258610,Kebili,quincaillerie,boulon,Fischer,1.74,5,77,201,349.74,100.0
maison,138,66669,Sfax,quincaillerie,clou,Fischer,0.26,5,92,221,57.46,100.0
maison,191,124073,Sfax,plomberie,robinet,IdealStandard,84.16,3,48,3,252.48,65.98
immeuble,299,253846,Kebili,plomberie,chauffe_eau,Ariston,1277.93,5,64,2,2555.86,0.0
maison,385,239846,Zaghouan,revetement,marbre,SOTEMAIL,161.26,4,62,291,46926.66,82.47
maison,387,248183,Ben Arous,menuiserie,aluminium,AluminiumPro,260.3,5,72,40,10412.0,95.57
immeuble,251,158168,Manouba,etancheite,bitume,Bostik,58.07,4,56,2,116.14,90.99
renovation,272,189375,Kef,plomberie,robinet,Grohe,101.7,5,72,4,406.8,100.0
renovation,203,92202,Kairouan,plomberie,siphon,Wirquin,15.85,4,57,3,47.55,95.52
immeuble,145,88929,Bizerte,etancheite,hydrofuge,Weber,40.45,4,56,7,283.15,92.76
immeuble,290,300000,Ben Arous,plomberie,tuyau,LocalPlomb,13.55,5,78,192,2601.6,100.0
immeuble,132,118395,Beja,maconnerie,sable,Sibline,35.17,4,56,18,633.06,93.28
maison,346,214125,Tataouine,revetement,colle_carrelage,Sika,13.87,4,80,46,638.02,100.0
immeuble,465,300000,Sidi Bouzid,revetement,gres,GresPro,71.59,4,64,436,31213.24,92.04
maison,256,210645,Zaghouan,quincaillerie,boulon,Rawlplug,1.19,3,51,179,213.01,75.18
renovation,247,128155,Tunis,quincaillerie,clou,LocalClou,0.46,2,30,352,161.92,48.95
renovation,395,300000,Manouba,maconnerie,gravier,GraviereTunis,41.95,5,70,61,2558.95,100.0
immeuble,75,93059,Sfax,electricite,tableau_electrique,Hager,147.03,4,52,1,147.03,80.9
immeuble,220,195067,Sfax,isolation,laine_roche,Knauf,28.02,4,63,228,6388.56,96.1
immeuble,374,291146,Siliana,etancheite,silicone,LocalSil,18.12,5,66,4,72.48,100.0
maison,498,300000,Jendouba,maconnerie,brique,BriqueLocal,0.53,4,55,5955,3156.15,96.45
immeuble,418,300000,Beja,peinture,rouleau,OutilTunis,17.53,4,64,4,70.12,97.45
renovation,473,169433,Kebili,quincaillerie,boulon,Fischer,5.53,5,63,204,1128.12,100.0
renovation,339,254238,Beja,electricite,interrupteur,Legrand,16.03,5,83,78,1250.34,100.0
maison,110,57339,Zaghouan,peinture,rouleau,LocalTool,9.78,2,50,7,68.46,54.02
immeuble,118,142821,Gafsa,peinture,peinture_murale,LocalPaint,70.74,3,47,18,1273.32,67.03
renovation,282,171341,Kairouan,quincaillerie,cheville,Fischer,1.53,5,73,435,665.55,100.0
renovation,242,56801,Manouba,peinture,vernis,LocalVernis,26.12,2,55,21,548.52,53.89
renovation,187,52397,Manouba,peinture,rouleau,OutilTunis,13.14,3,49,7,91.98,73.39
immeuble,255,178817,Zaghouan,revetement,gres,LocalGres,60.75,5,57,188,11421.0,100.0
immeuble,260,281950,Gabes,menuiserie,fenetre,AluminiumPro,297.19,5,78,11,3269.09,93.68
maison,453,257262,Tataouine,etancheite,bitume,LocalBitume,21.27,4,80,3,63.81,100.0
maison,500,213741,Tataouine,plomberie,tuyau,LocalPlomb,13.07,3,53,367,4796.69,74.59
immeuble,201,265577,Kasserine,electricite,prise,LocalElec,17.25,5,72,31,534.75,100.0
renovation,380,219604,Monastir,maconnerie,parpaing,ParpaingPro,1.86,4,63,724,1346.64,98.71
maison,282,252430,Beja,electricite,cable,Legrand,8.91,4,71,490,4365.9,100.0
immeuble,409,300000,Tataouine,maconnerie,gravier,GraviereTunis,35.54,4,59,110,3909.4,94.15
immeuble,345,300000,Mahdia,revetement,joint,Sika,11.52,5,100,25,288.0,100.0
maison,281,209362,Monastir,menuiserie,porte,MenuiserieTunis,489.09,4,57,6,2934.54,48.19
maison,387,164071,Zaghouan,peinture,rouleau,OutilTunis,5.35,4,75,5,26.75,100.0
renovation,357,217473,Tozeur,isolation,polystyrene,Isover,12.18,5,85,219,2667.42,100.0
immeuble,189,286032,Gabes,plomberie,siphon,Geberit,17.59,4,57,4,70.36,95.34
maison,375,151385,Jendouba,plomberie,siphon,Wirquin,43.73,3,33,5,218.65,65.53
maison,400,300000,Kef,revetement,carrelage,SOTEMAIL,22.62,4,74,418,9455.16,99.94
renovation,111,83769,Beja,quincaillerie,boulon,LocalBoul,4.39,3,45,83,364.37,73.06
maison,50,26517,Bizerte,quincaillerie,cheville,LocalChev,0.87,2,31,61,53.07,49.21
maison,73,45485,Beja,peinture,peinture_murale,LocalPaint,118.01,3,45,12,1416.12,61.7
maison,275,215156,Tunis,revetement,marbre,MarbreLocal,119.99,4,62,233,27957.67,86.6
immeuble,149,112241,Ariana,peinture,vernis,Jotun,82.85,4,68,9,745.65,92.12
immeuble,100,59705,Zaghouan,quincaillerie,cheville,Rawlplug,0.79,3,52,126,99.54,75.52
maison,437,212076,Monastir,menuiserie,bois,BoisTunis,269.37,5,72,64,17239.68,94.66
renovation,91,63317,Ben Arous,plomberie,raccord,LocalPlomb,33.66,2,31,3,100.98,45.93
immeuble,74,71507,Zaghouan,electricite,interrupteur,Schneider,28.82,5,78,23,662.86,100.0
immeuble,372,288581,Siliana,maconnerie,gravier,LocalStone,61.44,3,42,87,5345.28,66.46
renovation,111,65190,Tunis,quincaillerie,cheville,Rawlplug,0.41,4,74,63,25.83,100.0
renovation,334,175358,Zaghouan,revetement,faience,SOTEMAIL,34.88,4,68,241,8406.08,96.91
immeuble,500,300000,Kebili,plomberie,tuyau,LocalPlomb,16.88,4,52,220,3713.6,93.91
maison,437,300000,Zaghouan,menuiserie,porte,MenuiserieTunis,359.47,4,70,17,6110.99,65.05
immeuble,387,300000,Tunis,maconnerie,ciment,LocalCement,24.13,4,49,136,3281.68,92.29
immeuble,268,211438,Kebili,menuiserie,bois,BoisTunis,121.45,5,83,26,3157.7,100.0
maison,232,206954,Sidi Bouzid,electricite,cable,Legrand,2.98,5,91,240,715.2,100.0
renovation,126,80928,Manouba,peinture,pinceau,LocalTool,12.74,2,43,5,63.7,51.63
maison,113,52563,Bizerte,quincaillerie,boulon,Fischer,1.66,5,92,46,76.36,100.0
maison,148,63247,Siliana,quincaillerie,clou,Rawlplug,0.28,4,53,294,82.32,95.87
immeuble,260,266723,Siliana,plomberie,raccord,GF,9.67,4,66,6,58.02,98.83
renovation,308,100250,Bizerte,maconnerie,gravier,GraviereTunis,40.15,4,55,47,1887.05,92.48
immeuble,375,300000,Siliana,menuiserie,fenetre,FenetrePro,319.53,4,59,22,7029.66,65.75
maison,311,266310,Medenine,quincaillerie,vis,Rawlplug,0.17,3,61,514,87.38,78.28
maison,490,300000,Tunis,plomberie,robinet,Grohe,155.51,5,64,4,622.04,100.0
renovation,420,121511,Nabeul,peinture,rouleau,OutilTunis,24.74,3,45,6,148.44,71.03
renovation,212,123454,Sousse,etancheite,silicone,LocalSil,23.53,2,40,6,141.18,49.65
maison,372,195076,Ariana,electricite,tableau_electrique,Schneider,242.93,4,78,2,485.86,79.11
renovation,434,253952,Siliana,etancheite,silicone,LocalSil,21.77,3,39,6,130.62,69.52
maison,380,196273,Tozeur,isolation,laine_roche,Rockwool,28.77,4,60,233,6703.41,95.12
maison,270,135574,Kairouan,quincaillerie,cheville,Fischer,0.97,5,84,459,445.23,100.0
renovation,374,143487,Sousse,etancheite,bitume,LocalBitume,53.78,3,34,2,107.56,64.82
maison,256,125648,Tozeur,plomberie,tuyau,LocalPlomb,12.24,3,40,92,1126.08,70.78
renovation,350,150608,Ben Arous,electricite,cable,Nexans,10.72,4,40,453,4856.16,90.93
maison,199,104304,Kairouan,plomberie,raccord,LocalPlomb,23.91,2,27,5,119.55,45.71
immeuble,96,103814,Kebili,electricite,prise,Schneider,30.65,4,67,17,521.05,97.04
immeuble,397,300000,Zaghouan,revetement,faience,SOTEMAIL,69.01,5,67,320,22083.2,100.0
renovation,433,230172,Ben Arous,maconnerie,sable,LocalSand,42.9,3,46,55,2359.5,69.51
renovation,72,33794,Medenine,maconnerie,gravier,LocalStone,56.89,2,41,10,568.9,46.61
maison,127,106197,Beja,maconnerie,ciment,LocalCement,19.36,2,37,39,755.04,49.16
renovation,143,102425,Kebili,electricite,interrupteur,Schneider,10.61,5,82,54,572.94,100.0
maison,95,38756,Sidi Bouzid,maconnerie,parpaing,LocalBlock,3.31,2,38,251,830.81,51.07
immeuble,70,59506,Sidi Bouzid,quincaillerie,cheville,Fischer,0.42,5,97,88,36.96,100.0
immeuble,432,300000,Tozeur,maconnerie,sable,Sibline,36.99,5,70,85,3144.15,100.0
immeuble,157,198298,Kasserine,isolation,mousse_isolante,LocalMousse,37.08,5,64,27,1001.16,100.0
renovation,392,168514,Sousse,plomberie,raccord,GF,16.53,4,70,6,99.18,99.35
immeuble,444,300000,Kebili,maconnerie,parpaing,Sibline,2.73,5,68,1028,2806.44,100.0
immeuble,272,209772,Gafsa,revetement,gres,GresPro,37.61,5,74,259,9740.99,100.0
renovation,178,91908,Sidi Bouzid,plomberie,robinet,IdealStandard,109.74,3,47,5,548.7,63.13
immeuble,98,149995,Tozeur,etancheite,bitume,LocalBitume,38.92,3,37,5,194.6,67.21
renovation,64,42555,Gabes,quincaillerie,vis,Fischer,1.05,2,38,75,78.75,51.3
maison,114,48611,Gabes,maconnerie,ciment,LocalCement,12.37,3,62,45,556.65,77.36
renovation,99,36537,Kef,quincaillerie,cheville,Fischer,0.43,3,65,188,80.84,79.46
maison,465,207769,Bizerte,etancheite,hydrofuge,LocalHyd,28.62,5,69,3,85.86,100.0
immeuble,450,300000,Manouba,peinture,peinture_murale,Jotun,82.42,5,90,55,4533.1,100.0
renovation,97,38837,Manouba,quincaillerie,clou,Fischer,0.29,2,60,103,29.87,57.97
renovation,239,118513,Monastir,etancheite,bitume,LocalBitume,43.73,2,25,3,131.19,43.13
maison,259,126130,Kairouan,plomberie,robinet,LocalRobi,68.54,3,57,5,342.7,70.25
immeuble,120,199557,Ariana,revetement,joint,LocalJoint,11.42,4,74,11,125.62,100.0
maison,330,232120,Sousse,etancheite,membrane_etanche,LocalMemb,27.08,3,45,214,5795.12,70.79
maison,114,67797,Monastir,quincaillerie,clou,Rawlplug,0.41,4,60,110,45.1,97.96
renovation,268,146143,Gafsa,quincaillerie,cheville,Rawlplug,0.9,4,55,403,362.7,96.41
maison,204,101435,Jendouba,quincaillerie,clou,Fischer,0.11,4,78,125,13.75,100.0
maison,478,288879,Beja,quincaillerie,vis,Fischer,1.08,4,65,329,355.32,99.39
maison,179,93747,Jendouba,peinture,enduit,Sika,35.55,5,77,19,675.45,100.0
renovation,66,43394,Kairouan,quincaillerie,boulon,LocalBoul,2.81,2,40,22,61.82,51.72
renovation,335,115731,Zaghouan,peinture,pinceau,LocalTool,8.35,3,66,6,50.1,78.96
immeuble,451,300000,Gabes,plomberie,chauffe_eau,Atlantic,943.86,4,60,2,1887.72,3.61
immeuble,249,300000,Mahdia,isolation,mousse_isolante,Knauf,39.51,5,71,57,2252.07,100.0
immeuble,236,233283,Beja,isolation,laine_verre,LocalIso,12.23,5,82,201,2458.23,100.0
renovation,201,76854,Sfax,electricite,cable,Legrand,8.75,5,81,285,2493.75,100.0
maison,220,192986,Kairouan,revetement,joint,Sika,5.93,4,72,32,189.76,100.0
immeuble,322,174502,Gafsa,isolation,laine_roche,LocalIso,14.77,5,93,304,4490.08,100.0
renovation,415,136498,Kasserine,peinture,vernis,LocalVernis,58.88,3,44,42,2472.96,67.31
maison,378,270245,Tataouine,plomberie,chauffe_eau,LocalChauf,459.42,4,63,2,918.84,52.96
immeuble,157,145094,Medenine,maconnerie,sable,LocalSand,58.04,3,38,16,928.64,65.6
maison,175,100526,Sfax,maconnerie,parpaing,LocalBlock,3.11,3,47,453,1408.83,73.79
renovation,332,206857,Monastir,peinture,peinture_murale,Jotun,51.39,5,87,62,3186.18,100.0
renovation,467,292040,Bizerte,isolation,laine_roche,LocalIso,29.86,4,64,508,15168.88,96.21
immeuble,115,104791,Jendouba,quincaillerie,boulon,Fischer,1.29,4,94,26,33.54,100.0
maison,317,223146,Ariana,isolation,laine_roche,Rockwool,25.11,4,63,308,7733.88,96.39
maison,85,71453,Tataouine,etancheite,hydrofuge,Weber,44.65,4,62,7,312.55,94.14
renovation,444,207742,Kasserine,maconnerie,gravier,CarriereNabeul,37.25,4,64,87,3240.75,95.48
renovation,102,51526,Kasserine,maconnerie,gravier,GraviereTunis,64.93,3,49,15,973.95,68.21
renovation,138,49115,Sfax,quincaillerie,vis,Fischer,0.71,2,52,132,93.72,55.53
renovation,293,138896,Beja,etancheite,silicone,Bostik,20.58,4,63,7,144.06,96.84
maison,458,300000,Nabeul,electricite,prise,LocalElec,13.71,5,80,171,2344.41,100.0
renovation,139,60605,Ariana,peinture,vernis,LocalVernis,33.03,2,42,14,462.42,49.3
maison,452,300000,Beja,revetement,faience,FaiencePro,75.46,4,56,504,38031.84,89.25
maison,164,111134,Kairouan,etancheite,bitume,Sika,35.09,5,80,2,70.18,100.0
renovation,143,103065,Beja,electricite,disjoncteur,Legrand,71.82,4,66,2,143.64,92.62
maison,233,192371,Tunis,quincaillerie,boulon,Fischer,2.48,4,60,77,190.96,97.75
immeuble,90,77121,Sfax,maconnerie,brique,BriqueTunis,1.08,4,44,1215,1312.2,93.09
maison,483,300000,Medenine,electricite,prise,Legrand,15.18,5,74,179,2717.22,100.0
immeuble,101,130741,Zaghouan,maconnerie,sable,LocalSand,40.68,3,53,12,488.16,71.83
renovation,484,139005,Ariana,maconnerie,parpaing,ParpaingPro,2.66,3,62,1301,3460.66,78.33
immeuble,284,282745,Manouba,peinture,rouleau,OutilTunis,6.36,3,60,3,19.08,77.36
renovation,210,101160,Manouba,peinture,pinceau,PaintPro,23.12,4,49,4,92.48,92.39
maison,98,72929,Siliana,maconnerie,parpaing,Sibline,3.61,3,46,232,837.52,73.44
renovation,291,210092,Nabeul,etancheite,membrane_etanche,Sika,29.43,5,73,244,7180.92,100.0
immeuble,472,300000,Beja,electricite,prise,Schneider,28.61,4,66,150,4291.5,96.94
maison,224,125797,Zaghouan,etancheite,membrane_etanche,Bostik,27.58,3,55,199,5488.42,73.74
immeuble,104,88747,Gabes,electricite,interrupteur,Legrand,17.71,5,74,39,690.69,100.0
renovation,279,213350,Bizerte,isolation,laine_roche,Knauf,37.08,4,48,211,7823.88,90.69
maison,482,300000,Jendouba,peinture,vernis,LocalVernis,37.61,4,58,61,2294.21,93.64
renovation,435,169518,Beja,maconnerie,brique,SOTEMAIL,0.96,5,59,4951,4752.96,100.0
immeuble,411,300000,Gabes,etancheite,hydrofuge,LocalHyd,38.23,5,62,4,152.92,100.0
renovation,468,233799,Medenine,etancheite,hydrofuge,LocalHyd,29.86,3,56,7,209.02,73.81
maison,231,167377,Jendouba,revetement,marbre,SOTEMAIL,147.77,3,50,227,33543.79,60.22
immeuble,189,288472,Kairouan,menuiserie,porte,PortePro,704.84,5,71,5,3524.2,50.82
renovation,261,180723,Tataouine,maconnerie,brique,BriqueTunis,0.92,4,65,2319,2133.48,99.41
maison,433,262901,Siliana,menuiserie,fenetre,FenetrePro,710.34,3,44,21,14917.14,2.17
maison,353,230984,Tunis,etancheite,membrane_etanche,Bostik,31.33,5,78,276,8647.08,100.0
maison,158,82155,Sousse,etancheite,bitume,LocalBitume,33.48,3,53,3,100.44,72.55
maison,395,227251,Siliana,plomberie,siphon,LocalPlomb,11.11,4,74,4,44.44,100.0
maison,457,199550,Medenine,maconnerie,parpaing,ParpaingPro,2.85,3,54,1187,3382.95,75.92
renovation,350,150451,Nabeul,electricite,interrupteur,Legrand,25.48,4,59,134,3414.32,95.15
maison,408,190840,Mahdia,peinture,pinceau,PaintPro,23.49,5,70,3,70.47,100.0
immeuble,257,149477,Kairouan,etancheite,membrane_etanche,LocalMemb,30.15,2,39,177,5336.55,48.68
immeuble,83,72828,Tunis,maconnerie,sable,LocalSand,24.81,2,47,13,322.53,51.62
renovation,328,98815,Nabeul,peinture,rouleau,LocalTool,6.75,3,63,2,13.5,78.23
maison,500,300000,Gafsa,menuiserie,fenetre,AluminiumPro,413.61,5,68,25,10340.25,79.04
maison,459,300000,Nabeul,isolation,laine_roche,Rockwool,34.14,5,64,369,12597.66,100.0
immeuble,175,192468,Monastir,electricite,disjoncteur,Legrand,57.67,5,89,3,173.01,100.0
renovation,109,54273,Ben Arous,etancheite,bitume,Sika,30.72,4,84,3,92.16,100.0
renovation,283,117343,Sfax,peinture,vernis,Jotun,55.06,5,85,15,825.9,100.0
immeuble,159,194764,Gabes,peinture,enduit,Sika,24.42,5,83,15,366.3,100.0
maison,191,122765,Ben Arous,electricite,cable,Nexans,6.92,3,41,268,1854.56,71.61
renovation,449,146121,Siliana,etancheite,bitume,Bostik,32.88,3,47,7,230.16,70.81
renovation,247,136848,Monastir,electricite,cable,LocalCable,3.52,3,67,365,1284.8,79.75
renovation,297,189438,Jendouba,revetement,faience,SOTEMAIL,80.94,3,34,273,22096.62,62.11
maison,450,262766,Ben Arous,revetement,joint,Sika,23.49,4,54,53,1244.97,93.85
renovation,439,191533,Tunis,electricite,prise,Schneider,17.98,5,83,152,2732.96,100.0
immeuble,50,50722,Siliana,plomberie,robinet,IdealStandard,83.67,3,42,2,167.34,64.23
immeuble,444,300000,Tunis,maconnerie,ciment,Sibline,14.53,5,85,247,3588.91,100.0
maison,477,300000,Sfax,etancheite,hydrofuge,Weber,17.75,4,66,4,71.0,98.02
immeuble,411,300000,Kasserine,maconnerie,parpaing,Sibline,3.71,5,59,941,3491.11,100.0
renovation,52,37658,Kairouan,quincaillerie,clou,LocalClou,0.18,2,52,42,7.56,55.58
maison,382,188925,Kef,quincaillerie,cheville,Fischer,0.32,5,90,302,96.64,100.0
immeuble,362,300000,Ben Arous,quincaillerie,clou,Rawlplug,0.4,4,64,269,107.6,99.16
maison,392,300000,Jendouba,revetement,marbre,MarbreLocal,180.05,4,60,347,62477.35,80.0
maison,97,72462,Zaghouan,peinture,enduit,Weber,37.26,4,62,8,298.08,94.87
maison,358,233029,Gafsa,electricite,tableau_electrique,Hager,175.94,5,73,2,351.88,100.0
renovation,61,37732,Tataouine,peinture,enduit,LocalEnduit,49.2,2,31,6,295.2,44.38
renovation,351,182678,Kasserine,isolation,laine_roche,LocalIso,20.92,5,65,263,5501.96,100.0
renovation,361,152098,Gabes,peinture,rouleau,LocalTool,6.3,4,60,4,25.2,97.37
maison,454,229430,Tunis,menuiserie,serrure,Yale,84.77,4,55,4,339.08,88.02
renovation,125,61009,Nabeul,electricite,prise,Schneider,22.88,4,56,31,709.28,94.51
maison,431,300000,Kef,maconnerie,gravier,CarriereNabeul,65.98,5,69,46,3035.08,100.0
maison,312,233818,Medenine,etancheite,bitume,Sika,61.99,4,64,4,247.96,93.0
maison,416,300000,Monastir,etancheite,silicone,Bostik,17.3,4,65,5,86.5,97.77
maison,351,235675,Ariana,peinture,peinture_murale,Jotun,77.38,4,89,53,4101.14,98.96
maison,272,239577,Tozeur,electricite,interrupteur,Schneider,11.07,4,77,78,863.46,100.0
renovation,376,186368,Ariana,isolation,mousse_isolante,LocalMousse,34.98,4,66,40,1399.2,96.3
maison,227,112577,Ariana,plomberie,raccord,GF,36.42,3,44,9,327.78,69.56
renovation,476,239094,Mahdia,maconnerie,gravier,GraviereTunis,55.13,5,70,50,2756.5,100.0
renovation,374,230281,Kebili,etancheite,hydrofuge,Sika,46.47,4,51,6,278.82,90.65
renovation,470,246772,Tunis,plomberie,siphon,Wirquin,5.51,4,70,8,44.08,100.0
